movie_rank,movie_name,movie_year,movie_rating,summary
239,The Grapes of Wrath,1940,8.1,oklahoma family driven off farm poverty hopelessness dust bowl joins westward migration california suffering misfortunes homeless great depression
240,Groundhog Day,1993,8,narcissistic selfcentered weatherman finds himself time loop groundhog day
241,Amores perros,2000,8.1,amateur dog fighter supermodel derelict assassin all separately struggling find love find lives transformed devastating car wreck mexico city
242,The Iron Giant,1999,8.1,young boy befriends giant robot outer space paranoid government agent wants destroy
243,Rebecca,1940,8.1,selfconscious woman juggles adjusting her new role aristocrats wife avoiding being intimidated his first wifes spectral presence
244,Cool Hand Luke,1967,8.1,laidback southern man sentenced two years rural prison refuses conform
245,The Help,2011,8.1,aspiring author during civil rights movement s decides write book detailing african american maids point view white families they work hardships they go through daily basis
246,It Happened One Night,1934,8.1,rogue reporter trailing runaway heiress big story joins her bus heading florida new york they end up stuck each other when bus leaves them behind one stops along way
247,Aladdin,1992,8,kindhearted street urchin powerhungry grand vizier vie magic lamp power make deepest wishes come true
248,Drishyam,2015,8.2,desperate measures taken man who tries save his family dark side law after they commit unexpected crime
249,Dances with Wolves,1990,8,lieutenant john dunbar assigned remote western civil war outpost finds himself engaging neighbouring sioux settlement causing him question his own purpose
250,Andhadhun,2018,8.2,series mysterious events change life blind pianist who must now report crime he should technically know nothing
